Time,Temp,Gas,Humidity,Pressure,Alt,PM 1.0,PM 2.5,PM 10
1740787066.4116068,33.41359375,21437,100,647.0894081200802,3626.0679569594226,8,11,11
1740787067.4246976,23.8815625,2352,43.376312115463286,1000.7108906381264,104.92363216660642,8,11,11
1740787068.437092,23.9305859375,3962,43.30973585124542,1000.7120211096773,104.91412484483881,8,11,11
1740787069.4500048,23.9815625,5481,43.18932576057245,1000.7113299469462,104.91993755662445,8,11,11
1740787070.4625392,24.024140625,7111,43.10406045433389,1000.7117634922473,104.91629141942356,8,11,11
1740787071.4750755,24.0528515625,8873,42.999257317853385,1000.7023619685257,104.99535898090161,8,11,11
1740787072.4875114,24.0719921875,10726,42.89942967746962,1000.7006418058008,105.0098257511821,7,10,11
1740787073.4994118,24.07453125,12467,42.73186514706219,1000.686171443341,105.13152399389044,7,10,11
1740787074.5117514,24.06359375,14272,42.59887340654903,1000.6744801190008,105.22985108767837,7,10,11
1740787075.5242262,24.048359375,16041,42.57321941980818,1000.67428248446,105.23151325381939,7,10,10
1740787076.536604,24.03234375,17952,42.39793405329977,1000.6659366017011,105.30170488965226,7,10,10
1740787077.548772,24.0075390625,19640,42.329406718665226,1000.6683015547394,105.28181480386012,7,10,10
1740787078.5598526,23.981953125,21393,42.30862399768898,1000.6676348787637,105.28742177914984,7,10,10
1740787079.570755,23.9512890625,23205,42.26338330207278,1000.660073501471,105.35101578628527,7,10,10
1740787080.5821505,23.923359375,24988,42.230408088087216,1000.6622559558801,105.33266048963078,7,10,10
1740787081.5930111,23.903046875,26526,42.19231901056668,1000.6636858317331,105.32063469106679,7,10,10
1740787082.6039104,23.8813671875,28247,42.201849602891876,1000.652564308844,105.41417128597261,7,10,10
1740787083.616349,23.86046875,29908,42.2174385707794,1000.6427642922108,105.49659416583533,7,10,10
1740787084.6283863,23.8337109375,31562,42.23834833891737,1000.6349808899947,105.56205680878122,6,8,8
1740787085.6414175,23.8145703125,33226,42.27205255375675,1000.6332709768908,105.57643816256842,6,8,8
1740787086.653795,23.7981640625,34757,42.2881456687857,1000.6378953099232,105.53754490489925,6,8,8
1740787087.6661634,23.7794140625,36658,42.29800525105547,1000.6402548306909,105.51770005608634,6,7,8
1740787088.6785278,23.7602734375,37840,42.33769284783895,1000.6368348644443,105.54646383861116,6,7,8
1740787089.690964,23.7489453125,39393,42.36033137938172,1000.6432327365276,105.49265430768735,6,7,8
1740787090.7033408,23.739375,40920,42.39512121243473,1000.6423743637667,105.49987366616763,6,8,9
1740787091.7157087,23.732734375,42485,42.418288965655606,1000.644771617101,105.47971153939977,6,8,9
1740787092.7280412,23.7243359375,43898,42.45919903057593,1000.6373704255758,105.54195947196345,6,8,9
1740787093.7404332,23.7180859375,45311,42.476438807291196,1000.6370181094841,105.5449226458078,6,8,9
1740787094.7528756,23.71046875,46818,42.50548781568595,1000.6326449880446,105.58170309419009,6,8,9
1740787095.7654872,23.7083203125,47853,42.547115809515525,1000.632417203262,105.58361889784399,6,8,9
1740787096.7775402,23.70421875,49365,42.61247065729539,1000.6339976263761,105.57032661955661,5,8,9
1740787097.789902,23.6940625,50761,42.641257265539195,1000.6372610261576,105.54287958168958,6,9,10
1740787098.8023007,23.681171875,52109,42.6457992336666,1000.6393034896142,105.52570134572926,6,9,10
1740787099.8147614,23.671015625,53328,42.63867723443836,1000.6442708535034,105.48392321417148,7,9,10
1740787100.8268764,23.661640625,54746,42.62565881801187,1000.6403296954976,105.51707040309296,7,9,10
1740787101.839219,23.6551953125,56243,42.64289134110463,1000.6481706539763,105.45112396766014,7,9,10
1740787102.8516042,23.65265625,57157,42.63662239729483,1000.6541013436597,105.40124413904543,7,10,10
1740787103.8639672,23.65109375,58464,42.66637337499072,1000.6565704751921,105.3804776775228,7,10,10
1740787104.8757613,23.64796875,59747,42.70194135911436,1000.6529829714399,105.41065014560155,7,10,10
1740787105.888689,23.6395703125,60912,42.71297454960906,1000.6472845971126,105.4585761340638,7,9,10
1740787106.9015322,23.6344921875,62398,42.73635614301601,1000.6455044389186,105.47354814087007,7,9,10
1740787107.9135625,23.6315625,63288,42.74201587975144,1000.6422476443629,105.50093944226205,7,9,10
1740787108.9258845,23.6274609375,64448,42.76551064775255,1000.6404162539609,105.51634240025683,7,10,10
1740787109.9408514,23.6216015625,65702,42.78282148491816,1000.6373127301632,105.54244472234211,7,10,10
1740787110.9534469,23.6145703125,66848,42.80599268109571,1000.6288142331438,105.61392203723122,7,10,10
1740787111.9654043,23.610859375,67815,42.78760602825254,1000.6259392181634,105.63810270073279,7,10,11
1740787112.9771197,23.60890625,69035,42.7754079194956,1000.6226312671527,105.6659246950218,7,10,11
1740787113.988916,23.61203125,70184,42.78174785703145,1000.6262189466529,105.63575000774583,7,10,11
1740787115.000864,23.612421875,71251,42.79377118838417,1000.6217654028643,105.67320718254861,7,10,10
1740787116.0132196,23.6079296875,72227,42.799257186670964,1000.6243873583111,105.65115483032045,7,10,10
1740787117.0249927,23.6012890625,73421,42.79851206602454,1000.6336005037159,105.57366665067512,7,10,10
1740787118.0370367,23.5940625,74457,42.79171140762366,1000.6435258477599,105.49018909190502,7,10,10
1740787119.0490832,23.589375,75591,42.77321748889832,1000.6475213922026,105.45658457240621,7,10,10
1740787120.061145,23.583125,76621,42.766527794703734,1000.6454603437019,105.47391900362254,7,10,10
1740787121.0732298,23.582734375,77536,42.784451182320325,1000.6499136261634,105.43646474488865,7,9,10
1740787122.0852215,23.576484375,78620,42.78973964567092,1000.6512622957678,105.4251218080399,7,9,10
