time,PM1,PM2.5,PM10,BM680 Temp,BM680 Gas,BM680 Humidity,BM680 Pressure,BM680 Altitude
2 / 21 / 2025,0,0,0,21.1110546875,223883,32.478598636134514,1009.2467642732706,33.38311317315022
2 / 21 / 2025,0,0,0,21.089765625,224173,32.50535924909484,1009.2551600863837,33.31298810741198
2 / 21 / 2025,0,0,0,21.07140625,224173,32.54956394835946,1009.2627002849645,33.250009866475
2 / 21 / 2025,0,0,0,21.0534375,227559,32.588084597785624,1009.2708559529631,33.18189144959175
2 / 21 / 2025,0,0,0,21.033125,228459,32.62067640418242,1009.2716498054932,33.17526099535146
2 / 21 / 2025,0,0,0,21.015546875,231357,32.647783056960186,1009.2749361558215,33.147812623041666
2 / 21 / 2025,0,0,0,20.998359375,232599,32.65773178550404,1009.269700385647,33.19154304344785
2 / 21 / 2025,0,0,0,20.98234375,232599,32.66205227409795,1009.2699710532404,33.18928235765616
2 / 21 / 2025,0,0,0,20.9675,233225,32.68940490528567,1009.2684379411695,33.20208731292361
2 / 21 / 2025,0,0,0,20.952265625,235443,32.68806190674202,1009.2772512696315,33.12847629043262
2 / 21 / 2025,0,0,0,20.9399609375,236568,32.715641727152125,1009.2925218517172,33.00093397690036
2 / 21 / 2025,0,0,0,20.92765625,237541,32.737491495840146,1009.2913445528185,33.01076690766833
2 / 21 / 2025,0,0,0,20.913984375,238194,32.74201932020752,1009.2880052994578,33.03865677202373
2 / 21 / 2025,0,0,0,20.900703125,238194,32.780991625147934,1009.2816282322758,33.09191904735432
2 / 21 / 2025,0,0,0,20.8895703125,240175,32.814425770832486,1009.2749924921303,33.14734208954799
2 / 21 / 2025,0,0,0,20.8782421875,240843,32.824898592660965,1009.2717021846962,33.17482351133921
2 / 21 / 2025,0,0,0,20.8665234375,243209,32.85828920998603,1009.2659666469226,33.22272824564851
2 / 21 / 2025,0,0,0,20.8563671875,242359,32.86312922746838,1009.2681825059532,33.20422077656577
2 / 21 / 2025,1,1,1,20.845625,244238,32.88513433737467,1009.2694714905373,33.19345483502282
2 / 21 / 2025,1,1,1,20.8348828125,246847,32.87844460724002,1009.2671056402744,33.213215053221575
2 / 21 / 2025,1,1,1,20.82296875,247200,32.871651828270224,1009.2738492530814,33.15689068282365
2 / 21 / 2025,1,1,1,20.810859375,249155,32.85910439144072,1009.271147831831,33.179453604028375
2 / 21 / 2025,0,0,0,20.799140625,250959,32.83511893219841,1009.2690634577299,33.19686283218421
2 / 21 / 2025,0,0,0,20.78625,252238,32.81103497185911,1009.2706067283282,33.183973036745
2 / 21 / 2025,0,0,0,20.7735546875,251688,32.792708209737604,1009.2669771126225,33.21428855183768
2 / 21 / 2025,1,1,1,20.760859375,253529,32.762916844048824,1009.2633469217101,33.244608959511474
2 / 21 / 2025,1,1,1,20.7469921875,252605,32.733029710421654,1009.2669977016694,33.214116586401396
2 / 21 / 2025,1,1,1,20.7348828125,252421,32.720499123067164,1009.2642926264618,33.236710150558736
