time,PM1,PM2.5,PM10,BM680 Temp,BM680 Gas,BM680 Humidity,BM680 Pressure,BM680 Altitude
2 / 21 / 2025,0,0,0,24.1091015625,83712,36.49377875328325,1010.2973968780971,24.61149138106602
2 / 21 / 2025,0,0,0,24.1118359375,86252,36.67738037172933,1010.2943602575438,24.636833163567978
2 / 21 / 2025,0,0,0,24.114375,87974,36.74865865174008,1010.2983617418453,24.603439229796578
2 / 21 / 2025,0,0,0,24.1173046875,90133,36.79039760469411,1010.2993058414028,24.595560369547275
2 / 21 / 2025,0,0,1,24.1200390625,91348,36.79659230989674,1010.2999421062059,24.59025050762226
2 / 21 / 2025,0,0,1,24.12296875,95788,36.79096262519019,1010.3008861467891,24.582372149510945
2 / 21 / 2025,0,0,1,24.1239453125,98244,36.72593310867663,1010.2950790890595,24.630834228721913
2 / 21 / 2025,0,0,1,24.1255078125,100142,36.655072255032934,1010.2957049798583,24.62561092393439
2 / 21 / 2025,0,0,1,24.12609375,101644,36.56640573102898,1010.3058110120098,24.541272475090402
2 / 21 / 2025,0,0,1,24.12765625,103555,36.46015808558759,1010.3064369159267,24.536049105755847
2 / 21 / 2025,0,0,2,24.1286328125,105350,36.371641800296224,1010.309812468235,24.507879082091698
2 / 21 / 2025,0,0,2,24.13,107208,36.25370531643436,1010.3119670997107,24.489898058654862
2 / 21 / 2025,0,0,2,24.1301953125,108328,36.14164055042787,1010.3214575941935,24.410697504271894
2 / 21 / 2025,0,1,2,24.1315625,110502,36.0238799262585,1010.3162660785093,24.454021928803108
2 / 21 / 2025,0,1,2,24.132734375,111976,35.90619023644388,1010.3107667300548,24.499915487116322
2 / 21 / 2025,0,1,2,24.1337109375,113490,35.80033896123115,1010.3049595553452,24.548378158801587
2 / 21 / 2025,0,1,2,24.1341015625,115196,35.68862400586308,1010.3055751571825,24.54324076010506
2 / 21 / 2025,0,1,2,24.1348828125,116413,35.57115350551553,1010.308642911944,24.51763938092543
2 / 21 / 2025,0,1,2,24.135859375,117814,35.489019533663374,1010.302835705626,24.566102398890866
2 / 21 / 2025,1,1,2,24.13625,119573,35.39513602524102,1010.3016147499002,24.57629169864789
2 / 21 / 2025,1,1,2,24.13625,120719,35.29540823087742,1010.2997781954552,24.591618402382338
2 / 21 / 2025,1,1,2,24.137421875,121888,35.213441492039564,1010.2979518699858,24.606859764028517
2 / 21 / 2025,1,1,2,24.1378125,122651,35.14901899580795,1010.2930577885315,24.647702794206133
2 / 21 / 2025,1,1,2,24.1391796875,125267,35.09057395522636,1010.2878661085765,24.691029575759583
2 / 21 / 2025,1,1,2,24.139375,126163,35.037893275895684,1010.2863373392955,24.703787841225335
2 / 21 / 2025,1,1,2,24.1391796875,126707,34.98519352677497,1010.2860295464359,24.706356512606497
2 / 21 / 2025,1,1,2,24.1387890625,126981,34.93249352394625,1010.278067717589,24.77280181513418
2 / 21 / 2025,1,1,2,24.139765625,128744,34.89163972344472,1010.2887894889133,24.68332356018882
2 / 21 / 2025,1,1,3,24.1407421875,129500,34.862491772161,1010.2958381570553,24.624499508203424
2 / 21 / 2025,1,1,3,24.1407421875,130944,34.85079686098441,1010.2958381570553,24.624499508203424
2 / 21 / 2025,1,1,3,24.1407421875,131726,34.821563553405426,1010.2884918897935,24.685807155283577
2 / 21 / 2025,1,1,3,24.1403515625,132419,34.80983457157571,1010.2897128694042,24.67561754903275
2 / 21 / 2025,1,1,3,24.139765625,133624,34.80393318717038,1010.2887894889133,24.68332356018882
2 / 21 / 2025,1,1,3,24.1403515625,134030,34.798143754484364,1010.2933860007602,24.644963729358604
2 / 21 / 2025,0,1,2,24.141328125,135786,34.78654691112366,1010.3004346804655,24.58613979756898
2 / 21 / 2025,0,1,2,24.1423046875,136522,34.77495092478879,1010.2927908054882,24.64993087707455
2 / 21 / 2025,0,1,2,24.1425,137373,34.75159413845397,1010.2857523124574,24.708670156767155
2 / 21 / 2025,0,1,1,24.1440625,138561,34.72837107774724,1010.2882146444975,24.688120889332676
2 / 21 / 2025,0,1,1,24.1450390625,138998,34.71677943101193,1010.2860804449276,24.70593174149947
2 / 21 / 2025,0,1,1,24.1454296875,138998,34.70513290674708,1010.2903691859324,24.670140306085415
2 / 21 / 2025,1,1,1,24.1454296875,139438,34.70513290674708,1010.2940423461931,24.639486261306274
2 / 21 / 2025,1,1,1,24.147578125,140438,34.746234354266775,1010.2937548955983,24.641885152405546
2 / 21 / 2025,1,1,1,24.1489453125,140662,34.76389531061735,1010.2940728489509,24.639231703529443
2 / 21 / 2025,1,1,1,24.1505078125,142482,34.79326675442766,1010.3020449655902,24.57270139809669
2 / 21 / 2025,0,0,0,24.151484375,142482,34.828434535089556,1010.2962375414805,24.62116648987966
2 / 21 / 2025,0,0,0,24.15265625,143526,34.85193406258492,1010.2944110866364,24.636408974462043
2 / 21 / 2025,0,0,0,24.1532421875,144942,34.86368523436918,1010.2824782416895,24.73599381148502
2 / 21 / 2025,1,1,1,24.1536328125,144823,34.86957049811234,1010.290440226695,24.669547440621574
2 / 21 / 2025,1,1,1,24.1540234375,146023,34.86375983086256,1010.2873825947898,24.695064713526463
2 / 21 / 2025,0,1,1,24.154609375,147120,34.840426133672516,1010.2883059568546,24.68735884745479
2 / 21 / 2025,0,1,1,24.156171875,148359,34.846422338584105,1010.2907682564474,24.666809892863
2 / 21 / 2025,0,1,1,24.1565625,148484,34.8464596224557,1010.2932204432706,24.646345374008952
2 / 21 / 2025,1,1,1,24.157734375,148860,34.84072436290727,1010.2969037875517,24.61560640973141
2 / 21 / 2025,1,1,1,24.1587109375,150641,34.82327754799891,1010.3057892049308,24.54145446222192
2 / 21 / 2025,1,1,1,24.1587109375,151940,34.81158534002695,1010.3076258234406,24.52612729768124
2 / 21 / 2025,1,1,1,24.1587109375,153128,34.79989403955147,1010.2966061136336,24.618090612897074
2 / 21 / 2025,1,1,1,24.1591015625,152862,34.77655138422354,1010.2953850711394,24.628280687641706
2 / 21 / 2025,1,1,1,24.1591015625,153261,34.747331615096854,1010.2972216902859,24.612953389981083
2 / 21 / 2025,1,1,1,24.1606640625,153796,34.75332392691103,1010.2960107502718,24.623059150571642
2 / 21 / 2025,1,1,1,24.162421875,154605,34.724275892717124,1010.2987808370517,24.599941724445937
2 / 21 / 2025,1,1,1,24.163984375,155560,34.73026726354745,1010.2902233396458,24.671357455657116
2 / 21 / 2025,1,1,1,24.164375,155423,34.72446178552603,1010.2926755420408,24.650892797910064
2 / 21 / 2025,1,1,1,24.1653515625,156946,34.712870064176734,1010.3015610142564,24.576740141490625
2 / 21 / 2025,1,1,1,24.1657421875,157086,34.695381915649214,1010.3003399504289,24.586930353804338
2 / 21 / 2025,1,1,1,24.1665234375,158356,34.67793291678279,1010.2997344567459,24.591983417828565
2 / 21 / 2025,1,1,1,24.1669140625,158072,34.677970055458594,1010.3095332377194,24.510209343851706
2 / 21 / 2025,1,1,1,24.167890625,159358,34.6547015981312,1010.3000523158988,24.589330767800075
2 / 21 / 2025,1,1,1,24.1690625,160082,34.64897318000884,1010.3037356781504,24.558591821860485
2 / 21 / 2025,1,1,1,24.1688671875,160082,34.643115078125675,1010.3034278917856,24.56116040322032
2 / 21 / 2025,1,1,1,24.16984375,160959,34.63736851918446,1010.2976202242497,24.60962747277544
2 / 21 / 2025,1,1,1,24.16984375,161697,34.63152941508491,1010.2957835745758,24.62495502030172
2 / 21 / 2025,1,1,1,24.1704296875,161697,34.61406908908867,1010.2911969718076,24.663232081987164
2 / 21 / 2025,1,1,1,24.17140625,163801,34.59664782731043,1010.2890625740426,24.681044545610025
2 / 21 / 2025,1,1,1,24.1716015625,163043,34.59666636154263,1010.2893703549428,24.6784759802799
2 / 21 / 2025,1,1,1,24.1723828125,163649,34.585065626817574,1010.2906014787144,24.66820172386625
2 / 21 / 2025,1,1,1,24.17296875,165028,34.57928411131911,1010.286014847156,24.706479184793398
2 / 21 / 2025,0,1,1,24.1735546875,163649,34.591014141027195,1010.2832648658274,24.729429057915738
2 / 21 / 2025,0,1,1,24.17453125,165028,34.59110680174591,1010.2994970594659,24.59396458476175
2 / 21 / 2025,0,1,1,24.1751171875,165338,34.57948790828594,1010.2967470786845,24.616914205336148
2 / 21 / 2025,1,1,1,24.1751171875,165648,34.591162398624625,1010.2930737495445,24.64756959302816
2 / 21 / 2025,1,1,1,24.174921875,166746,34.585306510263116,1010.2982759610338,24.604155102717826
2 / 21 / 2025,1,1,1,24.174921875,166903,34.579469381102555,1010.2964392969072,24.61948276280153
2 / 21 / 2025,0,1,1,24.174921875,168017,34.57363247881273,1010.3001126252436,24.588827464500877
2 / 21 / 2025,0,1,1,24.17453125,168984,34.5619223160314,1010.2976603963937,24.6092922210445
2 / 21 / 2025,0,1,1,24.175703125,168984,34.5386898662561,1010.2921604254149,24.65519165892024
2 / 21 / 2025,1,1,1,24.1751171875,168984,34.53279902175946,1010.2967470786845,24.616914205336148
2 / 21 / 2025,1,1,1,24.1755078125,169798,34.51533143053642,1010.2955259765405,24.627104776731162
2 / 21 / 2025,1,1,1,24.177265625,171283,34.50966348513995,1010.2982960084933,24.603987799176547
2 / 21 / 2025,0,1,1,24.178046875,170785,34.50390325132153,1010.2958537882166,24.624369060065735
2 / 21 / 2025,0,1,1,24.177265625,171616,34.49799529055295,1010.2872759850414,24.695954419539852
2 / 21 / 2025,0,1,1,24.1766796875,172287,34.497939815983166,1010.2955359952773,24.627021166442386
2 / 21 / 2025,1,1,1,24.175703125,173645,34.48034683053621,1010.299507090519,24.593880871955655
2 / 21 / 2025,1,1,1,24.17453125,174332,34.456905129720646,1010.3031703858613,24.563309377781735
2 / 21 / 2025,1,1,1,24.174921875,172964,34.43944634247312,1010.3074592829176,24.527517130285837
