Time,Temp,Gas,Humidity,Pressure,Alt,PM 1.0,PM 2.5,PM 10
1740179240.7726827,33.1438671875,47935,100,702.877453836745,2980.424988956585,1,2,2
1740179241.7844446,22.5907421875,15613,34.694782025361654,1009.2058093876196,33.725190928615106,1,2,2
1740179242.7957013,22.63703125,29428,34.61333763986305,1009.2086234153094,33.70168626027011,1,2,2
1740179243.8067174,22.6751171875,43357,34.48544627964045,1009.2104635600845,33.68631615142718,1,2,2
1740179244.817753,22.7003125,55212,34.36215675102522,1009.2054974140572,33.72779674672524,1,2,2
1740179245.8285809,22.7221875,66114,34.25005984067656,1009.2092414587125,33.69652394958505,1,2,2
1740179246.8394153,22.728828125,76206,34.1651311693595,1009.2059099222325,33.72435119440944,1,2,2
1740179247.8503401,22.7290234375,83523,34.085350519832176,1009.2115122928169,33.67755645067306,1,2,2
1740179248.862494,22.71203125,90706,33.992633955690835,1009.2068741423786,33.71629736827871,1,2,2
1740179249.874825,22.681953125,95718,33.91015625410007,1009.2039266742665,33.74091665743087,1,2,2
1740179250.8868039,22.658515625,98569,33.907995365854134,1009.2099784245631,33.690368322655424,1,2,2
1740179251.8991396,22.6469921875,100506,34.08345204766073,1009.2124389767948,33.669816186970486,1,2,2
1740179252.9114447,22.62609375,105799,34.46943948355766,1009.2049860791734,33.73206776933766,2,3,3
1740179253.9238214,22.5790234375,112126,34.728007800344145,1009.2061881095198,33.72202758328195,2,3,3
1740179254.9360602,22.5305859375,114562,34.85509984759812,1009.208686247187,33.701161446411476,2,3,3
1740179255.9473786,22.485859375,119342,34.98263226945554,1009.213667865476,33.659551723076895,2,3,3
1740179256.9587238,22.436640625,123265,35.04102736987462,1009.2166392790838,33.63473261882511,2,3,3
1740179257.9699616,22.380390625,126689,35.01278663432571,1009.215241590294,33.646406982096366,2,3,3
1740179258.9804795,22.324921875,129410,34.96171708755995,1009.2062928558547,33.721152670148264,2,3,3
1740179259.9918978,22.27140625,130915,34.876508532857834,1009.2128241998239,33.66659855686753,2,3,3
1740179261.0032618,22.213984375,134569,34.78527769355034,1009.207724533126,33.70919432831343,2,3,3
1740179262.0146568,22.1606640625,135325,34.71737295964305,1009.2057430686991,33.725744869872955,1,2,3
1740179263.026044,22.1169140625,136750,34.67898153685033,1009.2016707478703,33.75975975193322,1,2,3
1740179264.0375705,22.077265625,139118,34.6352758408824,1009.1936829575636,33.82647970626672,1,2,3
1740179265.048449,22.02921875,140860,34.607941749276705,1009.2055053954032,33.72773008101339,1,2,3
1740179266.0595987,21.971796875,143130,34.56261467301245,1009.2073856804383,33.71202465507551,1,2,3
1740179267.0704584,21.9221875,144850,34.54657899122333,1009.2096085450536,33.69345780086095,1,2,3
1740179268.0813131,21.863984375,145600,34.52975032840093,1009.2066739702938,33.71796934192611,1,2,2
1740179269.0921574,21.814765625,146867,34.51946985580741,1009.2095065176758,33.6943100011379,1,2,2
1740179270.103077,21.761640625,148417,34.520242766067014,1009.2147852663895,33.650218485079144,1,2,2
1740179271.1152174,21.708515625,149867,34.53813581302384,1009.2165322849673,33.6356262995525,1,2,2
1740179272.1275427,21.656171875,150939,34.51616089945426,1009.2037034683423,33.742781029825174,1,2,2
1740179273.1399248,21.6034375,151754,34.551207775297456,1009.2025424522476,33.75247865574801,1,2,2
1740179274.152208,21.546015625,153409,34.53447110238869,1009.1990366764192,33.781761424826676,1,2,2
1740179275.1643662,21.4860546875,154392,34.56314273726864,1009.2107389926068,33.6840155583903,1,2,2
1740179276.1766534,21.4282421875,154250,34.574899006295986,1009.2206358743337,33.60135064983844,1,2,2
1740179277.1882515,21.3680859375,155244,34.59214440217909,1009.2372600698217,33.462496512006304,1,2,2
1740179278.1996164,21.3087109375,156250,34.637994123574664,1009.24458530964,33.40131279407969,1,2,2
1740179279.2106643,21.244453125,155961,34.68339865235559,1009.2404488683695,33.43586217927785,1,2,2
1740179280.2224,21.1856640625,157710,34.70077551735804,1009.236387286194,33.46978641980835,1,2,2
1740179281.2337348,21.1317578125,157416,34.775699684461294,1009.2296955984278,33.52567877770023,1,2,2
1740179282.2444556,21.0739453125,158898,34.79888154884146,1009.2254348659211,33.56126672512876,1,2,2
1740179283.2557878,21.0165234375,159801,34.8620848919385,1009.2182799952266,33.6210283571396,1,1,1
1740179284.2670798,20.961640625,159650,34.89125837462213,1009.2099647231295,33.69048276607309,1,1,1
1740179285.2785342,20.911640625,160714,34.93803195673811,1009.2148400471673,33.649760921650184,1,1,1
1740179286.289924,20.8669140625,161175,34.98530581651289,1009.2001610431696,33.77236989354344,1,1,1
1740179287.3004484,20.82453125,162104,35.06711713975658,1009.2015797331497,33.76051997203458,1,1,1
1740179288.3113623,20.7798046875,161948,35.11441921248771,1009.1974258541122,33.7952162025354,1,1,1
1740179289.3221972,20.72921875,162416,35.161183696330845,1009.197795371615,33.792129717879824,1,1,1
1740179290.3330276,20.68625,162416,35.22583948670693,1009.1912105307744,33.847131336863114,1,1,1
1740179291.343888,20.6524609375,163201,35.29137545652071,1009.1977781655078,33.79227343604504,1,1,1
1740179292.3559031,20.621015625,163517,35.345697935753016,1009.1958554533131,33.80833336669236,1,1,2
1740179293.3681562,20.59328125,164956,35.40611342792167,1009.2017149367078,33.75939065514612,1,1,2
1740179294.3790405,20.56046875,164154,35.4603399385676,1009.1940501569335,33.82341257516292,1,1,2
1740179295.3898616,20.5286328125,165604,35.53187433924328,1009.1914802111417,33.84487875479217,1,1,2
1740179296.4007092,20.49640625,166093,35.580455560270124,1009.193538622241,33.827685305960905,1,1,2
1740179297.4115741,20.4555859375,166584,35.616765107232524,1009.1991822331855,33.7805456280603,1,1,2
1740179298.422457,20.4096875,166749,35.65833933892098,1009.2018306478503,33.7584241529628,0,1,2
1740179299.4337704,20.367109375,166914,35.71171234327649,1009.2081108940934,33.70596718121739,0,1,2
1740179300.445193,20.3278515625,167411,35.75967093941993,1009.2039813817937,33.74045970185135,0,1,2
1740179301.4565048,20.2846875,167910,35.795786809943614,1009.1987612364028,33.78406210205769,1,1,2
1740179302.4678562,20.2419140625,168078,35.89513120738971,1009.2046992613967,33.73446347055378,1,1,2
1740179303.4792023,20.1985546875,167910,35.954237585838904,1009.2202057647946,33.60494317844086,1,1,2
1740179304.4900877,20.156171875,168919,36.00195533232844,1009.219740740764,33.60882733487026,1,1,2
1740179305.5014708,20.117109375,168919,36.073000933874816,1009.2281760683144,33.53837070291093,1,1,2
1740179306.5124683,20.070625,168581,36.12035585737186,1009.2210258632601,33.59809323333079,1,1,2
1740179307.5240507,20.0266796875,168750,36.20248948615296,1009.2127323302129,33.66736591076164,1,1,2
1740179308.5352926,19.9903515625,169598,36.27962557590155,1009.2185728163211,33.618582538701624,1,1,2
1740179309.5462441,19.9559765625,169940,36.31666125953393,1009.204776684366,33.733816780102664,1,1,2
1740179310.5578508,19.92140625,170627,36.399772524342566,1009.2011846122347,33.76382030542121,1,2,3
1740179311.5686824,19.887421875,170627,36.442629718762014,1009.1950322590976,33.81520930819089,1,2,3
1740179312.579516,19.8536328125,170283,36.50280887726751,1009.1944552578784,33.82002886205058,0,1,2
1740179313.5903776,19.8223828125,170455,36.569016967618985,1009.1857251846974,33.892949357843264,0,1,2
1740179314.602421,19.7958203125,169769,36.64146745542376,1009.1898776185388,33.858264873046245,0,1,2
1740179315.6144083,19.774921875,170627,36.69140209387338,1009.1979781256966,33.79060322038015,0,1,2
1740179316.6264021,19.754609375,170800,36.75872797305589,1009.192998965642,33.83219293442617,0,0,2
1740179317.638368,19.7337109375,171668,36.82024722147053,1009.19758756044,33.793865511062066,0,0,2
1740179318.6501603,19.7106640625,171668,36.87580280404283,1009.2039400468333,33.7408049603847,0,0,2
1740179319.661997,19.6887890625,172018,36.91992837073295,1009.2121960835314,33.671844987986816,0,1,3
1740179320.6742985,19.6637890625,170973,36.97532573483566,1009.2153656165922,33.64537103703515,0,1,3
1740179321.685645,19.640546875,171843,37.054044911351575,1009.2161314308403,33.638974480679586,0,1,3
1740179322.696467,19.6223828125,172723,37.09857149500595,1009.2058687537011,33.724695062280375,1,1,2
1740179323.7077663,19.6036328125,171146,37.13726496871127,1009.1999120574499,33.77444960316807,1,1,2
1740179324.7191699,19.58859375,171668,37.19948140578087,1009.1982382759459,33.78843025312951,1,1,2
1740179325.7305672,19.5719921875,173433,37.24998632552966,1009.1992813064904,33.77971809530524,1,1,1
1740179326.7424777,19.5587109375,172723,37.29503482678902,1009.2074784707006,33.711249607987625,1,1,1
1740179327.7543244,19.5473828125,171668,37.33449025937173,1009.2153458945031,33.64553576822845,1,1,1
1740179328.765756,19.5348828125,173790,37.37963652687735,1009.2177993660614,33.62504286313159,1,2,2
1740179329.7764945,19.520234375,173969,37.41299138122339,1009.215003184279,33.648398298239,1,2,2
1740179330.7879035,19.5028515625,173433,37.4750792846746,1009.2077570330651,33.708922866887846,1,2,2
1740179331.7987905,19.491328125,173790,37.51455639141803,1009.2082908767837,33.704463844869935,1,2,2
1740179332.8096924,19.481171875,173433,37.55417568309099,1009.2040365819405,33.73999863159192,1,2,2
1740179333.8205118,19.472578125,172900,37.58815323640884,1009.2023244059985,33.75429993293339,1,2,2
1740179334.8313417,19.464765625,172370,37.62801826097487,1009.1948711988276,33.81655460607217,0,1,1
1740179335.8422377,19.4587109375,174329,37.679677066399776,1009.195537098576,33.81099250601287,0,1,1
1740179336.8545363,19.451875,174509,37.70223667835379,1009.1949315797154,33.81605025895179,0,1,1
1740179337.8667996,19.4419140625,173611,37.741918801357016,1009.1944996576995,33.819658000833655,0,1,1
1740179338.8785262,19.4346875,175234,37.77025786818974,1009.196763848021,33.80074577142862,0,1,1
1740179339.8905308,19.428828125,172900,37.821980285485424,1009.1924880190003,33.8364607569726,0,1,1
1740179340.9029038,19.425703125,173255,37.862360712764556,1009.196167366559,33.80572803223462,0,1,1
1740179341.9152045,19.422578125,173969,37.87949458489155,1009.2015995153816,33.76035473666574,0,1,1
1740179342.9274786,19.4159375,173255,37.890471036763714,1009.2048164184745,33.73348489322827,0,1,1
