Time,Temp,Gas,Humidity,Pressure,Alt,PM 1.0,PM 2.5,PM 10
1740178547.6760874,33.1438671875,51853,100,702.877453836745,2980.424988956585,1,1,2
1740178548.880485,23.652265625,23003,38.58599525677265,1010.3412552896657,24.245482714063428,1,1,1
1740178549.8913848,23.6309765625,36499,38.51916644614469,1010.3385080210587,24.26840893323187,1,1,1
1740178550.90238,23.6247265625,46203,38.43630494230093,1010.3389637661645,24.264605693262958,1,1,1
1740178551.9132526,23.62921875,52662,38.33698923190295,1010.3374231505434,24.277462295302765,0,1,1
1740178552.924198,23.638203125,57942,38.23819539895365,1010.3396350426478,24.25900382421658,0,1,1
1740178553.936589,23.649140625,61986,38.15138179909054,1010.3467770271906,24.199403439208012,0,1,1
1740178554.9486828,23.6610546875,65448,38.070570825821775,1010.3449143541889,24.214947549186824,0,1,2
1740178555.9606545,23.6727734375,68642,37.98977870734309,1010.3480281431786,24.188962819607077,0,1,2
1740178556.9728346,23.683125,71071,37.897182735302714,1010.3506900092575,24.166749461417844,0,1,2
1740178557.9846406,23.6934765625,73613,37.82803295367503,1010.3498222041649,24.17399131766537,0,1,1
1740178558.9969838,23.703828125,75591,37.770605092941324,1010.3507185581241,24.16651122046056,0,1,1
1740178560.007044,23.713203125,77751,37.713097509242694,1010.3500316372802,24.1722435923681,0,1,1
1740178561.0179539,23.721796875,80342,37.643845156147876,1010.3410191964762,24.247452932314506,0,1,1
1740178562.0291445,23.7294140625,81036,37.597884087633275,1010.3445413148461,24.21806058607355,0,1,1
1740178563.040307,23.7352734375,82786,37.55759693659324,1010.3416847583633,24.241898761283103,0,1,1
1740178564.052674,23.7415234375,84190,37.50568377919985,1010.334166789302,24.30463703017695,0,1,1
1740178565.063627,23.7481640625,85730,37.46549778001418,1010.336105525808,24.28845802715735,0,1,1
1740178566.0745668,23.7544140625,86788,37.43695135117307,1010.3444702347184,24.21865375433998,0,1,1
1740178567.085509,23.76125,88704,37.38513483264374,1010.3520197512458,24.155652739429595,0,1,1
1740178568.0966365,23.7669140625,89933,37.356542836548414,1010.3576699411688,24.10850192976759,0,1,1
1740178569.10755,23.771796875,91295,37.31621546274113,1010.3585241962231,24.10137319373594,0,1,1
1740178570.119938,23.7755078125,91792,37.28160930145397,1010.3663034179197,24.03645601721249,0,1,1
1740178571.1299572,23.77921875,92598,37.27032425442757,1010.3581988001961,24.10408861447281,0,1,1
1740178572.1408875,23.7833203125,94043,37.241594651113324,1010.3542568752248,24.136983924287165,0,1,1
1740178573.15176,23.78625,95210,37.206925658175265,1010.351945393057,24.156273259606536,0,1,1
1740178574.1626363,23.789375,94432,37.20723941471995,1010.3499503870513,24.17292162780136,0,1,1
1740178575.1735878,23.7925,95990,37.17259722165091,1010.3461904084093,24.204298803117503,0,1,1
1740178576.1860096,23.79484375,95935,37.14370827282732,1010.3517537236339,24.157872743923598,0,1,1
1740178577.1983771,23.79640625,97262,37.126393048624514,1010.3542859959621,24.13674091175168,0,1,1
1740178578.210662,23.7973828125,98454,37.12066739176764,1010.350573896749,24.167718423052126,0,1,1
1740178579.2230394,23.7989453125,99148,37.103354619304284,1010.3442815212161,24.220228580884882,0,1,1
1740178580.2352703,23.8005078125,99970,37.09186596573352,1010.3379891055204,24.27273933867772,0,1,1
1740178581.2476258,23.8008984375,100686,37.06861731296508,1010.3350922963047,24.296913553249453,0,1,1
1740178582.2605524,23.8024609375,101657,37.05713111764162,1010.3411543812808,24.24632480328824,1,1,1
1740178583.271462,23.8034375,102521,37.039766535775804,1010.3392071415085,24.26257470145206,1,1,1
1740178584.282308,23.8040234375,103085,37.02236478242325,1010.3419216626515,24.239921775392936,1,1,1
1740178585.293217,23.8051953125,104295,37.005023530523395,1010.3385259947904,24.268258940558994,1,1,1
1740178586.3041124,23.8071484375,104554,36.99939971957418,1010.3381613554795,24.27130189422093,1,1,1
1740178587.316435,23.8079296875,105403,36.99365895232037,1010.3394274555243,24.260736159095504,1,1,1
1740178588.3273137,23.8094921875,106199,36.970541782290056,1010.3472545250547,24.195418696660624,1,1,1
1740178589.3381753,23.8110546875,106736,36.97069787711762,1010.3480217805472,24.189015916027444,1,1,1
1740178590.3490381,23.81359375,106871,36.9593160729166,1010.3503716601522,24.169406092460008,1,1,1
1740178591.3598967,23.81515625,107279,36.97692571804988,1010.3529038715112,24.148274745672886,1,1,1
1740178592.3707817,23.81671875,108801,36.95962819834509,1010.3589660376886,24.097686040208025,1,1,1
1740178593.383069,23.8173046875,109012,36.94223502554244,1010.3528557085152,24.148676666295035,1,1,1
1740178594.3939326,23.818671875,109935,36.95400581313101,1010.3462464808674,24.203830875468345,1,1,1
1740178595.4047682,23.81984375,110583,36.942488538895276,1010.3481456197945,24.187982472462583,1,1,1
1740178596.415616,23.82140625,110801,36.931011074172964,1010.3489128173547,24.181580179847266,1,1,1
1740178597.4265065,23.8243359375,110947,36.94293707886388,1010.3483656717139,24.18614613048299,1,1,1
1740178598.4373932,23.82609375,111829,36.94311260018861,1010.3423893582969,24.23601881763214,1,1,1
1740178599.449826,23.8270703125,112275,36.9257600095417,1010.3386769415126,24.26699927443769,1,1,1
1740178600.4618332,23.828046875,112725,36.95494214898031,1010.3384945226161,24.26852157915136,1,1,1
1740178601.4741828,23.8305859375,112725,36.92611093025687,1010.3355491920875,24.293100700325738,1,1,1
1740178602.4860153,23.832734375,113943,36.9495929209396,1010.3407958798126,24.249316529691672,1,1,1
1740178603.4983578,23.8352734375,113790,36.9440292635021,1010.3431455629024,24.229708232500283,1,1,1
