Time,Latitude,Longitude,counts
1745027910.23,0,0,316.0
1745027912.21,0,0,301.5
1745027914.19,0,0,301.5
1745027916.21,0,0,323.0
1745027918.21,0,0,297.5
1745027920.2,0,0,315.0
1745027922.22,0,0,304.0
1745027924.18,0,0,304.0
1745027926.2,0,0,303.0
1745027928.2,0,0,305.5
1745027930.21,0,0,308.5
1745027932.22,0,0,335.0
1745027934.19,0,0,335.0
1745027936.2,0,0,313.5
1745027938.21,0,0,298.5
1745027940.2,0,0,322.0
1745027942.18,0,0,322.0
1745027944.2,0,0,300.0
1745027946.2,0,0,319.0
1745027948.21,0,0,318.0
1745027950.21,0,0,301.0
1745027952.19,0,0,301.0
1745027954.2,0,0,316.0
1745027956.2,0,0,319.0
1745027958.21,0,0,292.0
1745027960.21,0,0,298.0
1745027962.2,0,0,298.0
1745027964.21,0,0,300.5
1745027966.2,0,0,310.0
1745027968.21,0,0,310.5
1745027970.18,0,0,310.5
1745027972.2,0,0,319.0
1745027974.2,0,0,317.5
1745027976.2,0,0,329.5
1745027978.23,0,0,304.5
1745027980.18,0,0,304.5
1745027982.2,0,0,307.0
1745027984.2,0,0,304.5
1745027986.21,0,0,309.0
1745027988.21,0,0,314.5
1745027990.18,0,0,314.5
1745027992.2,0,0,302.5
1745027994.22,0,0,286.5
1745027996.21,0,0,299.0
1745027998.18,0,0,299.0
1745028000.2,0,0,347.0
1745028002.21,0,0,321.0
1745028004.22,0,0,320.0
1745028006.21,0,0,322.5
1745028008.19,0,0,322.5
1745028010.21,0,0,326.5
1745028012.2,0,0,332.0
1745028014.21,0,0,307.0
1745028016.19,0,0,307.0
1745028018.22,0,0,300.5
1745028020.2,0,0,306.5
1745028022.2,0,0,314.0
1745028024.21,0,0,297.5
1745028026.19,0,0,297.5
1745028028.21,0,0,325.5
1745028030.2,0,0,307.0
1745028032.2,0,0,301.5
1745028034.21,0,0,316.5
1745028036.18,0,0,316.5
1745028038.21,0,0,308.5
1745028040.23,0,0,292.0
1745028042.21,0,0,308.0
1745028044.18,0,0,308.0
1745028046.22,0,0,308.0
1745028048.21,0,0,326.0
1745028050.21,0,0,293.0
1745028052.21,0,0,318.5
1745028054.18,0,0,318.5
1745028056.21,0,0,303.5
1745028058.21,0,0,327.0
1745028060.23,0,0,353.5
1745028062.21,0,0,292.0
1745028064.2,0,0,292.0
1745028066.2,0,0,296.5
1745028068.2,0,0,326.0
1745028070.22,0,0,296.0
1745028072.18,0,0,296.0
1745028074.22,0,0,317.5
1745028076.2,0,0,301.0
1745028078.21,0,0,312.0
1745028080.21,0,0,302.5
1745028082.19,0,0,302.5
1745028084.2,0,0,298.0
1745028086.22,0,0,327.0
1745028088.21,0,0,328.0
1745028090.18,0,0,328.0
1745028092.2,0,0,315.0
1745028094.2,0,0,320.0
1745028096.24,0,0,322.5
1745028098.21,0,0,310.5
1745028100.19,0,0,310.5
1745028102.21,0,0,306.0
1745028104.21,0,0,332.0
1745028106.21,0,0,307.5
1745028108.18,0,0,307.5
1745028110.23,0,0,298.5
1745028112.2,0,0,306.0
1745028114.2,0,0,290.0
1745028116.22,0,0,305.0
1745028118.19,0,0,305.0
1745028120.2,0,0,323.5
1745028122.21,0,0,315.0
1745028124.2,0,0,288.0
1745028126.21,0,0,313.0
1745028128.18,0,0,313.0
1745028130.2,0,0,306.5
1745028132.22,0,0,298.0
1745028134.21,0,0,328.0
1745028136.19,0,0,328.0
1745028138.21,0,0,309.0
1745028140.2,0,0,296.5
1745028142.21,0,0,289.0
1745028144.2,0,0,321.5
1745028146.19,0,0,321.5
1745028148.21,0,0,305.5
1745028150.21,0,0,347.5
1745028152.22,0,0,314.5
1745028154.21,0,0,316.5
1745028156.19,0,0,316.5
1745028158.21,0,0,311.0
1745028160.21,0,0,313.0
1745028162.23,0,0,296.5
1745028164.19,0,0,296.5
1745028166.21,0,0,310.0
1745028168.21,0,0,317.5
1745028170.21,0,0,314.0
1745028172.21,0,0,288.5
1745028174.18,0,0,288.5
1745028176.21,0,0,301.0
1745028178.21,0,0,282.5
1745028180.21,0,0,320.0
1745028182.18,0,0,320.0
1745028184.21,0,0,308.0
1745028186.2,0,0,296.5
1745028188.22,0,0,300.0
1745028190.21,0,0,309.5
1745028192.19,0,0,309.5
1745028194.21,0,0,315.0
1745028196.21,0,0,321.0
1745028198.21,0,0,285.5
1745028200.21,0,0,313.0
1745028202.2,0,0,313.0
1745028204.21,0,0,310.5
1745028206.21,0,0,321.5
1745028208.22,0,0,283.0
1745028210.21,0,0,327.5
1745028212.18,0,0,327.5
1745028214.21,0,0,289.5
1745028216.21,0,0,298.0
1745028218.2,0,0,308.0
1745028220.18,0,0,308.0
1745028222.21,0,0,304.5
1745028224.22,0,0,300.0
1745028226.21,0,0,305.0
1745028228.21,0,0,298.0
1745028230.19,0,0,298.0
1745028232.2,0,0,314.5
1745028234.21,0,0,305.5
1745028236.22,0,0,309.0
1745028238.2,0,0,301.5
1745028240.18,0,0,301.5
1745028242.2,0,0,290.5
1745028244.21,0,0,312.5
1745028246.2,0,0,297.5
1745028248.2,0,0,297.5
1745028250.21,0,0,302.0
1745028252.21,0,0,309.5
1745028254.22,0,0,293.0
1745028256.2,0,0,296.5
1745028258.18,0,0,296.5
1745028260.21,0,0,313.5
1745028262.21,0,0,296.5
1745028264.2,0,0,307.0
1745028266.2,0,0,298.5
1745028268.18,0,0,298.5
1745028270.21,0,0,309.5
1745028272.21,0,0,302.0
1745028274.21,0,0,329.0
1745028276.21,0,0,316.5
1745028278.18,0,0,316.5
1745028280.21,0,0,305.5
1745028282.2,0,0,312.5
1745028284.23,0,0,284.5
1745028286.18,0,0,284.5
1745028288.21,0,0,324.5
1745028290.21,0,0,303.0
1745028292.22,0,0,304.5
1745028294.21,0,0,310.0
1745028296.19,0,0,310.0
1745028298.2,0,0,299.0
1745028300.22,0,0,326.5
1745028302.2,0,0,303.0
1745028304.21,0,0,307.5
1745028306.19,0,0,307.5
1745028308.21,0,0,304.5
