Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1743814784.3,0,0,33.0,0.0,1.0,1.0,24.864375,39.508720668088465,1005.0650914062958,68.36890881122551,145906.0
1743814786.27,0,0,43.0,0.0,1.0,1.0,24.86994140625,39.42212454263722,1005.0219946647499,68.73008912563145,146417.0
1743814788.29,0,0,43.0,0.0,1.0,1.0,24.8723828125,39.341252874205374,1004.9749302942624,69.12453584128475,148559.0
1743814790.3,0,0,33.0,0.0,1.0,1.0,24.87716796875,39.24865779924809,1004.912444249591,69.64825378588486,150090.0
1743814792.31,0,0,37.0,1.0,2.0,2.0,24.88263671875,39.18919790812793,1004.8619251180093,70.07169171994116,150630.0
1743814794.29,0,0,27.5,1.0,2.0,2.0,24.89640625,39.15163942878813,1004.8052744446151,70.5465433392261,151379.0
1743814796.31,0,0,27.5,0.5,1.5,1.5,24.91173828125,39.10525310563005,1004.7483321111963,71.02386226619785,152342.0
1743814798.27,0,0,27.5,0.5,1.5,1.5,24.9221875,39.04636705032807,1004.691039465346,71.50413891105762,152342.0
1743814800.3,0,0,34.5,0.0,1.0,1.0,24.931953125,39.02640525306988,1004.6417638220519,71.9172277584094,152829.5
1743814802.27,0,0,25.5,0.0,1.0,1.0,24.93830078125,39.00009040993068,1004.6189553192487,72.10844203276744,153813.0
1743814804.3,0,0,22.0,0.0,1.0,1.0,24.948261718749997,38.9441859818575,1004.5990547899655,72.27528059981704,154166.5
1743814806.33,0,0,30.0,0.0,1.0,1.0,24.96818359375,38.87736226515045,1004.5828736461419,72.41093912586658,155452.5
1743814808.28,0,0,30.0,0.0,1.0,1.0,24.989375000000003,38.80769978823828,1004.5723037109442,72.49955563411802,156178.0
1743814810.29,0,0,28.5,0.0,1.0,1.0,25.0059765625,38.752551837732646,1004.5863768536026,72.38156920270731,155886.5
1743814812.31,0,0,29.0,0.0,1.0,1.0,25.01388671875,38.72344652102241,1004.6059793826139,72.21722706750775,157426.0
1743814814.24,0,0,26.5,0.0,1.0,1.0,25.01388671875,38.72344652102241,1004.6059793826139,72.21722706750775,157426.0
1743814816.29,0,0,26.5,0.5,1.5,1.5,24.998359375,38.73679062825642,1004.6090275381828,72.19167260505581,158918.5
1743814818.27,0,0,33.0,0.5,1.5,1.5,24.9860546875,38.79237999918578,1004.6270942982449,72.04020872125992,159982.5
1743814820.31,0,0,25.0,1.0,2.0,2.0,24.97970703125,38.809681315518596,1004.6444542520649,71.89467260381177,160364.0
1743814822.27,0,0,31.0,1.0,2.0,2.0,24.98068359375,38.74690843048357,1004.6577887790288,71.782884798915,160440.5
1743814824.32,0,0,31.5,1.0,1.0,2.0,24.97306640625,38.70420826631407,1004.6577221262237,71.78344350479188,161213.5
1743814826.25,0,0,31.5,1.0,1.0,2.0,24.87921875,38.613631103213834,1004.6549138484677,71.8069861462204,165027.5
1743814828.33,0,0,24.0,1.5,1.5,2.5,24.7614453125,38.54454865021813,1004.6529003211332,71.82386618004321,167501.0
1743814830.29,0,0,34.0,1.5,1.5,2.5,24.7063671875,38.49100608023504,1004.6351069132907,71.97303517120307,167417.5
1743814832.3,0,0,26.0,2.0,2.0,3.0,24.67501953125,38.48177297872175,1004.6434226908134,71.90332053508334,167836.0
