Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1743811829.2,0,0,30.4,1.0,1.0,1.2,23.426601562500004,46.99422181999414,1005.6729302631513,63.276137437890064,6643.2
1743811834.12,0,0,36.2,1.0,1.0,1.2,23.426601562500004,46.99422181999414,1005.6729302631513,63.276137437890064,6643.2
1743811839.2,0,0,38.8,1.0,1.0,2.0,23.52171875,46.58933400181801,1005.6900766545825,63.132512675683905,11693.0
1743811844.18,0,0,36.0,1.0,1.0,2.0,23.5671484375,46.29812381867604,1005.6958501604995,63.08415210283026,18060.8
1743811849.22,0,0,31.2,1.0,1.0,1.0,23.59296875,46.13869464677333,1005.701776778152,63.03450915203507,25179.6
1743811854.17,0,0,33.6,1.0,1.0,1.0,23.609843750000003,46.01080593578388,1005.7093075240515,62.97143000940197,32188.0
1743811859.22,0,0,34.4,0.2,0.2,0.8,23.620156249999997,45.88471984392019,1005.712377796631,62.945712753886234,38406.6
1743811864.12,0,0,34.4,0.2,0.2,0.8,23.6294921875,45.79102789697311,1005.7110189229231,62.957094950225255,44224.2
1743811869.21,0,0,35.4,0.0,0.6,0.6,23.633046875,45.73908082571413,1005.7136762120023,62.93483704972455,49200.4
1743811874.15,0,0,35.6,0.0,0.6,0.6,23.6360546875,45.73694341255849,1005.7104003918082,62.96227589395287,53732.4
