Time,Latitude,Longitude,counts
1745021742.28,0,0,79.5
1745021744.18,0,0,79.5
1745021746.21,0,0,91.5
1745021748.21,0,0,102.5
1745021750.2,0,0,101.0
1745021752.19,0,0,101.0
1745021754.2,0,0,95.0
1745021756.21,0,0,93.5
1745021758.2,0,0,109.5
1745021760.2,0,0,97.5
1745021762.19,0,0,97.5
1745021764.21,0,0,99.0
1745021766.2,0,0,91.0
1745021768.21,0,0,100.5
1745021770.2,0,0,91.5
1745021772.18,0,0,91.5
1745021774.21,0,0,109.5
1745021776.2,0,0,89.5
1745021778.2,0,0,93.5
1745021780.18,0,0,93.5
1745021782.21,0,0,100.0
1745021784.2,0,0,97.0
1745021786.2,0,0,111.5
1745021788.2,0,0,91.5
1745021790.2,0,0,91.5
1745021792.22,0,0,95.5
1745021794.2,0,0,106.5
1745021796.2,0,0,83.0
1745021798.23,0,0,107.5
1745021800.19,0,0,107.5
1745021802.21,0,0,93.5
1745021804.2,0,0,92.0
1745021806.2,0,0,98.5
1745021808.19,0,0,98.5
1745021810.21,0,0,92.5
1745021812.21,0,0,92.0
1745021814.2,0,0,98.5
1745021816.2,0,0,92.5
1745021818.18,0,0,92.5
1745021820.21,0,0,98.0
1745021822.2,0,0,100.0
1745021824.2,0,0,91.0
1745021826.21,0,0,81.0
1745021828.18,0,0,81.0
1745021830.2,0,0,87.5
1745021832.2,0,0,103.5
1745021834.21,0,0,94.0
1745021836.22,0,0,101.0
1745021838.2,0,0,101.0
1745021840.21,0,0,106.0
1745021842.2,0,0,105.0
1745021844.2,0,0,87.0
1745021846.19,0,0,87.0
1745021848.23,0,0,99.0
1745021850.21,0,0,101.0
1745021852.21,0,0,95.5
1745021854.2,0,0,98.0
1745021856.2,0,0,98.0
1745021858.2,0,0,91.0
1745021860.21,0,0,95.0
1745021862.22,0,0,99.0
1745021864.21,0,0,91.0
1745021866.19,0,0,91.0
1745021868.23,0,0,106.0
1745021870.21,0,0,91.0
1745021872.21,0,0,105.5
1745021874.21,0,0,91.0
1745021876.18,0,0,91.0
1745021878.21,0,0,103.5
1745021880.2,0,0,93.5
1745021882.21,0,0,87.5
1745021884.21,0,0,87.0
1745021886.18,0,0,87.0
1745021888.21,0,0,107.5
1745021890.2,0,0,99.0
1745021892.21,0,0,93.0
1745021894.18,0,0,93.0
1745021896.2,0,0,97.0
1745021898.21,0,0,109.0
1745021900.21,0,0,99.5
1745021902.2,0,0,95.0
1745021904.18,0,0,95.0
1745021906.2,0,0,109.5
1745021908.22,0,0,93.5
1745021910.21,0,0,96.5
1745021912.2,0,0,95.0
1745021914.19,0,0,95.0
1745021916.2,0,0,88.5
1745021918.21,0,0,110.0
1745021920.21,0,0,91.5
1745021922.18,0,0,91.5
1745021924.21,0,0,103.0
1745021926.2,0,0,93.5
1745021928.21,0,0,98.0
1745021930.21,0,0,98.5
1745021932.19,0,0,98.5
1745021934.21,0,0,106.0
1745021936.2,0,0,93.5
1745021938.21,0,0,113.0
1745021940.2,0,0,104.5
1745021942.19,0,0,104.5
1745021944.21,0,0,100.0
1745021946.2,0,0,98.0
1745021948.21,0,0,101.0
1745021950.18,0,0,101.0
1745021952.2,0,0,109.5
1745021954.21,0,0,102.0
1745021956.21,0,0,96.0
1745021958.21,0,0,109.5
1745021960.18,0,0,109.5
1745021962.21,0,0,86.0
1745021964.21,0,0,88.0
1745021966.21,0,0,90.0
1745021968.21,0,0,124.0
1745021970.19,0,0,124.0
1745021972.21,0,0,94.5
1745021974.22,0,0,91.5
1745021976.21,0,0,86.0
1745021978.19,0,0,86.0
1745021980.21,0,0,91.5
1745021982.2,0,0,91.0
1745021984.21,0,0,103.0
1745021986.21,0,0,108.0
1745021988.19,0,0,108.0
1745021990.21,0,0,106.0
1745021992.21,0,0,95.5
1745021994.2,0,0,111.0
1745021996.21,0,0,87.0
1745021998.19,0,0,87.0
1745022000.22,0,0,91.5
1745022002.21,0,0,92.0
1745022004.21,0,0,91.5
1745022006.21,0,0,101.5
1745022008.18,0,0,101.5
1745022010.21,0,0,97.0
1745022012.2,0,0,97.0
1745022014.2,0,0,99.5
1745022016.2,0,0,99.5
1745022018.2,0,0,104.5
1745022020.21,0,0,97.5
1745022022.2,0,0,79.5
1745022024.22,0,0,94.0
1745022026.18,0,0,94.0
1745022028.21,0,0,99.5
1745022030.21,0,0,100.0
1745022032.24,0,0,103.0
1745022034.2,0,0,94.5
1745022036.21,0,0,94.5
1745022038.2,0,0,86.0
1745022040.21,0,0,98.5
1745022042.2,0,0,102.0
1745022044.2,0,0,87.5
1745022046.19,0,0,87.5
1745022048.2,0,0,102.0
1745022050.21,0,0,91.0
1745022052.2,0,0,104.5
1745022054.21,0,0,96.5
1745022056.19,0,0,96.5
1745022058.25,0,0,102.5
1745022060.21,0,0,112.5
1745022062.21,0,0,94.5
1745022064.21,0,0,92.5
1745022066.18,0,0,92.5
